index,y_min,y_pred_min
349,50000,68723
350,50000,46909
351,50000,54280
352,50000,52115
353,50000,57398
354,50000,54430
355,50000,50567
356,50000,49885
357,50000,52523
358,50000,49149
359,50000,51461
360,50000,50098
361,50000,48192
362,50000,49858
363,50000,51718
364,50000,50567
365,51000,46199
366,51000,51150
367,51000,50794
368,51000,43185
369,51000,50863
370,51000,51247
371,51000,51341
372,51000,52595
373,51000,52331
374,51000,51108
375,51000,50895
376,51000,46533
377,51000,50003
378,51000,51184
379,51000,49373
380,51000,53844
381,51000,51132
382,51000,52591
383,51000,51646
384,51000,50813
385,51000,50938
386,51000,50942
387,51000,51199
388,51000,72432
389,51000,50982
390,51000,46936
391,51000,50680
392,51000,51875
393,51000,51111
394,51000,52663
395,51000,45015
396,51000,51047
397,51000,33618
398,51000,51221
399,51000,45032
400,51000,52987
401,51000,50877
402,51000,48661
403,51000,46031
404,51000,45962
405,51000,46514
406,52000,51159
407,52000,53279
408,52000,54500
409,52000,48661
410,52000,50093
411,52000,52381
412,52000,53471
413,52000,48989
414,52000,51956
415,52000,51986
416,52000,46095
417,52000,51735
418,52000,55555
419,52000,51610
420,52000,50766
421,52000,49968
422,52000,52987
423,52000,52083
424,52000,51145
425,52000,52347
426,52000,51968
427,52000,52473
428,52000,51732
429,52000,52523
430,52000,40411
431,52000,52735
432,52000,51609
433,52000,49504
434,52000,51367
435,52000,48192
436,53000,54990
437,53000,58918
438,53000,52976
439,53000,46433
440,53000,55165
441,53000,52944
442,53000,56719
443,53000,51150
444,53000,52115
445,53000,50700
446,53000,53226
447,53000,54864
448,53000,54270
449,53000,50231
450,53000,25917
451,53000,39779
452,53000,52010
453,53000,52980
454,53000,52920
455,53000,51712
456,53000,51268
457,53000,52838
458,53000,43391
459,53000,53479
460,53000,52994
461,53000,52626
462,53000,41268
463,53000,51384
464,53000,45793
465,53000,53499
466,53000,52473
467,54000,49603
468,54000,60110
469,54000,64720
470,54000,48504
471,54000,54991
472,54000,53993
473,54000,55022
474,54000,53956
475,54000,53427
476,54000,55282
477,54000,52523
478,54000,53923
479,54000,49132
480,54000,53946
481,54000,54282
482,54000,63628
483,54000,53892
484,54000,48181
485,54000,52523
486,54000,33945
487,54000,54078
488,55000,55717
489,55000,50237
490,55000,54125
491,55000,48222
492,55000,55014
493,55000,39231
494,55000,51077
495,55000,55018
496,55000,54261
497,55000,53638
498,55000,50345
499,55000,84064
500,55000,53087
501,55000,53411
502,55000,54898
503,55000,54898
504,55000,53601
505,55000,54997
506,55000,55405
507,55000,51055
508,55000,52769
509,56000,48504
510,56000,56192
511,56000,51150
512,56000,55813
513,56000,55140
514,56000,55916
515,56000,53936
516,56000,55827
517,56000,56684
518,56000,56485
519,56000,50624
520,56000,55530
521,56000,56756
522,56000,55869
523,56000,55522
524,56000,58253
525,56000,47826
526,56000,55869
527,56000,53108
528,56000,56926
529,56000,55963
530,56000,52231
531,56000,47623
532,56000,55258
533,57000,54342
534,57000,57442
535,57000,51172
536,57000,73517
537,57000,55114
538,57000,59562
539,57000,57319
540,57000,56413
541,57000,63053
542,57000,56914
543,57000,57566
544,57000,33423
545,57000,59328
546,57000,56809
547,57000,59562
548,58000,59237
549,58000,65203
550,58000,58980
551,58000,58135
552,58000,48701
553,58000,49033
554,58000,66765
555,58000,58309
556,58000,58037
557,58000,52535
558,58000,59773
559,58000,56722
560,58000,53211
561,58000,53150
562,58000,49033
563,58000,56748
564,59000,56386
565,59000,57011
566,59000,50205
567,59000,53980
568,59000,58492
569,59000,59824
570,59000,50821
571,59000,59270
572,59000,57625
573,59000,51077
574,59000,58681
575,59000,58966
576,59000,52010
577,59000,59694
578,59000,68719
579,59000,60150
580,59000,46660
581,59000,60316
582,59000,51704
583,59000,51895
584,59000,58829
585,59000,58540
586,59000,60031
587,59000,59726
588,59000,59587
589,60000,54990
590,60000,54430
591,60000,60217
592,60000,61755
593,60000,43575
594,60000,59436
595,60000,59871
596,60000,58319
597,60000,59444
598,60000,60679
599,60000,51077
600,60000,59897
601,60000,59478
602,60000,49376
603,60000,59136
604,60000,60217
605,60000,48504
606,60000,52523
607,60000,52523
608,60000,49882
609,60000,59035
610,60000,61151
611,60000,57304
612,60000,60024
613,61000,61034
614,61000,61998
615,61000,58968
616,61000,60444
617,61000,61114
618,61000,60882
619,61000,61595
620,61000,64083
621,61000,61003
622,61000,60369
623,61000,60767
624,61000,45495
625,61000,61568
626,61000,60031
627,61000,46109
628,62000,59328
629,62000,55717
630,62000,59621
631,62000,60150
632,62000,51384
633,62000,60917
634,62000,50567
635,62000,53087
636,62000,50085
637,62000,61665
638,62000,51572
639,62000,61963
640,62000,61342
641,62000,39824
642,63000,57203
643,63000,62939
644,63000,61488
645,63000,62687
646,63000,52523
647,63000,62977
648,63000,63285
649,64000,58918
650,64000,60407
651,64000,49033
652,64000,49392
653,64000,63389
654,64000,60832
655,64000,48228
656,65000,38632
657,65000,65117
658,65000,64927
659,65000,58285
660,65000,64248
661,65000,65056
662,65000,61843
663,65000,64803
664,65000,64831
665,65000,63053
666,65000,57398
667,65000,52376
668,65000,58319
669,65000,65080
670,65000,64265
671,66000,61843
672,66000,62110
673,66000,58405
674,66000,65643
675,66000,66428
676,66000,65559
677,66000,65781
678,66000,67225
679,67000,66242
680,67000,48504
681,67000,54385
682,67000,47921
683,67000,62868
684,67000,51572
685,67000,54990
686,67000,44586
687,67000,66801
688,67000,65972
689,68000,68747
690,68000,47773
691,68000,63873
692,68000,68186
693,68000,66575
694,68000,67068
695,68000,50340
696,68000,60091
697,68000,51513
698,68000,66528
699,68000,60110
700,68000,63390
701,68000,58253
702,68000,67559
703,68000,68014
704,68000,67876
705,69000,58006
706,69000,69155
707,69000,68872
708,69000,84822
709,69000,56037
710,70000,60148
711,70000,70254
712,70000,69035
713,70000,64717
714,70000,69913
715,70000,63628
716,70000,70252
717,71000,70874
718,71000,70570
719,71000,72755
720,71000,46576
721,71000,59321
722,72000,74172
723,72000,68723
724,72000,50069
725,72000,48003
726,72000,66048
727,73000,54385
728,73000,65761
729,73000,65119
730,73000,60407
731,73000,73019
