index,y_max,y_pred_max
644,109000,95938
645,109000,93273
646,109000,108976
647,109000,106501
648,109000,96441
649,109000,108712
650,109000,109666
651,109000,109196
652,109000,108517
653,109000,95847
654,109000,108735
655,110000,109834
656,110000,90771
657,110000,83477
658,110000,109240
659,110000,85896
660,110000,109914
661,110000,109912
662,110000,109957
663,110000,109981
664,110000,100089
665,110000,106302
666,110000,110099
667,110000,109568
668,111000,143811
669,111000,80785
670,111000,80300
671,111000,110155
672,112000,111520
673,112000,85023
674,112000,103989
675,113000,113067
676,113000,105520
677,113000,90132
678,113000,103989
679,113000,99051
680,113000,99633
681,113000,95372
682,113000,113097
683,113000,113429
684,114000,112999
685,114000,59849
686,114000,114044
687,114000,114523
688,114000,90177
689,114000,115735
690,114000,106816
691,114000,113202
692,114000,114327
693,114000,125322
694,115000,118179
695,115000,114618
696,115000,113061
697,115000,115182
698,115000,84138
699,115000,86546
700,115000,100306
701,116000,81373
702,116000,105494
703,116000,114911
704,116000,105270
705,117000,115305
706,118000,117645
707,118000,122558
708,118000,70963
709,118000,115551
710,119000,92437
711,119000,118313
712,120000,102562
713,121000,120591
714,122000,83892
715,122000,104393
716,123000,123085
717,124000,103968
718,124000,78221
719,124000,133148
720,125000,91524
721,128000,119272
722,129000,129356
723,129000,92109
724,130000,97067
725,134000,102562
726,140000,118622
727,141000,119289
728,142000,126375
729,142000,141521
730,146000,143250
731,151000,151121
